,Date,City,County,State,latitude,longitude,o3_median,pressure_median,pm25_median,humidity_median,temperature_median,dew_median,no2_median,wind-speed_median,co_median,so2_median,pm10_median,wind-gust_median,day,month,year
75,1/2/2019,jackson,hinds,MS,32.31821429,-90.19857143,24.8,1021.8,36,62.7,8.7,6,3.9,2.5,1.9,1.5,0,5.3,2,1,2019
76,1/2/2019,jacksonville,duval,FL,30.31615385,-81.64423077,15.5,1023.6,29,79,13.6,0,2.8,1.4,3,0.6,20,2.2,2,1,2019
77,1/2/2019,las vegas,clark,NV,36.13558442,-115.191039,9.8,1013.4,30,43.5,12.5,2,6.7,1.5,0.1,0.6,19,3.7,2,1,2019
78,1/2/2019,little rock,pulaski,AR,34.73,-92.35416667,10.4,1023.8,43,74.5,8.3,6,0,2,0,0,0,3.5,2,1,2019
79,1/2/2019,los angeles,los angeles,CA,34.03708333,-118.2884375,9.6,1014.8,34,0,0,10,18.6,0,4.7,0,15,3.3,2,1,2019
80,1/2/2019,madison,dane,WI,43.07088235,-89.38882353,0,1024.3,35,85.6,-22.7,0,0,2.2,0,1.5,12,3.2,2,1,2019
81,1/2/2019,manhattan,riley,KS,39.2125,-96.6125,15.2,1028.6,38,41.8,-9.4,0,23.2,1.3,3.4,0,0,4.5,2,1,2019
82,1/2/2019,memphis,shelby,TN,35.11030769,-89.97984615,16.8,1022,33,72.5,9,6,0,2.4,0,0,0,2.5,2,1,2019
83,1/2/2019,miami,miami-dade,FL,25.76768421,-80.26421053,13.9,1021,15,87.9,20.3,0,0,0.7,1.8,0,0,5,2,1,2019
84,1/2/2019,milwaukee,milwaukee,WI,43.05333333,-87.96404762,6.4,1025.1,42,77.2,-11,0,34.3,1.5,4.9,1.5,16,3.1,2,1,2019
85,1/2/2019,nashville,davidson,TN,36.15636364,-86.78636364,0,1023.3,38,50.2,8.8,1,0,2.5,0,0,0,6.1,2,1,2019
86,1/2/2019,oakland,alameda,CA,37.7862963,-122.2255556,23.3,1006.8,17,86.5,12,0,6.5,0.6,3.9,1.5,0,5.2,2,1,2019
87,1/2/2019,oklahoma city,oklahoma,OK,35.47391892,-97.51662162,11.2,1019,62,0,0,10,9.3,3.2,6.7,0,23,5.5,2,1,2019
88,1/2/2019,omaha,douglas,NE,41.26652174,-96.02347826,14.5,1018.3,59,0,0,0,0,2,1.3,0,28,5,2,1,2019
89,1/2/2019,philadelphia,philadelphia,PA,39.97674419,-75.15337209,12.8,1030.6,50,79.8,-5,0,18.6,1.1,3.4,1.5,0,1.5,2,1,2019
90,1/2/2019,phoenix,maricopa,AZ,33.50259259,-112.0709877,13.6,33.9,38,42.3,0,0,17.4,0.7,5.6,0.1,25,3.2,2,1,2019
